time,depth,IMUx,IMUy,IMUz
01/17/19_14:15:44.503153,0.0,0.0,0.0,0.0
01/17/19_14:15:44.607439,1.103992690332234,-0.004159736912697554,-0.02335205115377903,-0.0009593963623046875
01/17/19_14:15:44.711097,2.2079401183873415,-0.008318901062011719,-0.046659089624881744,-0.001918792724609375
01/17/19_14:15:44.816107,3.3117955550551414,-0.012480735778808594,-0.06987438350915909,-0.00287971505895257
01/17/19_14:15:44.921354,4.415509756654501,-0.016637420281767845,-0.09295596927404404,-0.003839874407276511
01/17/19_14:15:45.026787,5.519031174480915,-0.0207963939756155,-0.11586017906665802,-0.004800224211066961
01/17/19_14:15:45.132456,6.622306443750858,-0.024951744824647903,-0.138545423746109,-0.005760574247688055
01/17/19_14:15:45.235460,7.725280523300171,-0.029106711968779564,-0.16097603738307953,-0.006720161531120539
01/17/19_14:15:45.338804,8.827896416187286,-0.03325767442584038,-0.1831100434064865,-0.00767784146592021
01/17/19_14:15:45.440124,9.930095449090004,-0.037407875061035156,-0.2049112319946289,-0.008638954721391201
01/17/19_14:15:45.545157,11.03181391954422,-0.04155712202191353,-0.22634315490722656,-0.009599876590073109
01/17/19_14:15:45.649448,12.132992595434189,-0.04570141062140465,-0.24736957252025604,-0.010558510199189186
01/17/19_14:15:45.753814,13.233564421534538,-0.04984436184167862,-0.26796188950538635,-0.011518669314682484
01/17/19_14:15:45.855782,14.333464577794075,-0.053983498364686966,-0.28808823227882385,-0.012480735778808594
01/17/19_14:15:45.959103,15.432624891400337,-0.058122824877500534,-0.30771350860595703,-0.013438415713608265
01/17/19_14:15:46.062210,16.530972719192505,-0.06225433573126793,-0.32681217789649963,-0.014396095648407936
01/17/19_14:15:46.166082,17.628442123532295,-0.06638336181640625,-0.34535446763038635,-0.01535873394459486
01/17/19_14:15:46.270493,18.72495375573635,-0.07050781697034836,-0.3633144497871399,-0.01631755940616131
